cod;nombre;;categoria;tipo;vigencia_hoy;stock;costo;valor
282;GUANTES DE NITRILO TALLA M CAJA X 50 PARES;;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;Vigente;1;33000;33000
286;Amonio Cuaternario x litro (Limpieza y desinfección);;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;Vigente;1;12700;12700
340;VINAGRE / ACIDO ACETICO X 3 LITROS / MINORISTA (LIMPIEZA Y DESINFECCION);;T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;Vigente;0;4800;0
56;REFINADO CF CACAO 12H;;T09.01. SERVICIOS MAQUILA;Servicio;Vigente;0;5000;0
57;REFINADO CACAO 24H;;T09.01. SERVICIOS MAQUILA;Servicio;Vigente;0;7000;0
58;TOSTADO CF CACAO;;T09.01. SERVICIOS MAQUILA;Servicio;Vigente;0;2000;0
59;DESCASCARILLADO CF CACAO;;T09.01. SERVICIOS MAQUILA;Servicio;Vigente;0;2000;0
94;PROCESO MOLDEADO CHOCOLATE DE MESA;;T09.01. SERVICIOS MAQUILA;Servicio;Vigente;0;3000;0
176;MAQUILA OBTENCION DE NIBS DE CACAO X KG;;T09.01. SERVICIOS MAQUILA;Servicio;Vigente;0;4845;0
177;ENMOLDADO DE CHOCOLATE X KG;;T09.01. SERVICIOS MAQUILA;Servicio;Vigente;0;5000;0
117;PROCESO EMPACADO CHOCOLATE;;T09.02. SERVICIOS M.O.;Servicio;Vigente;0;800;0
150;MANO DE OBRA OS GENERAL;;T09.02. SERVICIOS M.O.;Servicio;Vigente;0;1;0
236;Flete Mercadolibre;;T09.06. SERVICIOS LOGISTICA;Servicio;Vigente;0;9100;0
166;Comision bold;;T09.10. SERVICIOS GENERALES;Servicio;Vigente;0;1;0
61;FILTRADO APICA;;T999. PRODUCTOS QUE NO SE USAN;Servicio;Vigente;0;500;0
62;ENVASADO APICA;;T999. PRODUCTOS QUE NO SE USAN;Servicio;Vigente;0;700;0
63;ENVASE VIDRIO R 3590, 255 CC B.53 UNICOR;;T999. PRODUCTOS QUE NO SE USAN;Materia prima;Vigente;10;945,4;9454
69;ENVASE VIDRIO R. 4353, 400 CC, B.38 UNICOR;;T999. PRODUCTOS QUE NO SE USAN;Materia prima;Vigente;0;905,1;0
84;ENVASE VIDRIO R. 4353, 400 CC, B.38 C Tapa UNICOR;;T999. PRODUCTOS QUE NO SE USAN;Materia prima;Vigente;0;1088,3;0
115;AVELLANA GR;;T999. PRODUCTOS QUE NO SE USAN;Materia prima;Vigente;0;72;0
181;Envase Vidrio R 4267 Flint, 450cc, B.89, C Tapa UNICOR;;T999. PRODUCTOS QUE NO SE USAN;Materia prima;Vigente;8;2242;17936
212;Bicarbonato x gramo;;T999. PRODUCTOS QUE NO SE USAN;Materia prima;Vigente;0;15;0
217;PITAHAYA DESHIDRATADA X GRAMO;;T999. PRODUCTOS QUE NO SE USAN;Materia prima;Vigente;0;190;0
218;PIÑA DESHIDRATADA X GRAMO;;T999. PRODUCTOS QUE NO SE USAN;Materia prima;Vigente;0;100;0
220;BANANO DESHIDRATADO X GRAMO;;T999. PRODUCTOS QUE NO SE USAN;Materia prima;Vigente;0;137;0
255;BOLSA DE PAPEL ANTIGRASA 2LB X 100UDS;;T999. PRODUCTOS QUE NO SE USAN;Materia prima;Vigente;0;12353;0
9;MIEL OS PLASTICO 500grs;;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;Vigente;0;10250;0
12;Miel os plastico 265 grs;;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;Vigente;0;6222;0
361;Miel Os Carmen degustacion 65 grs;;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;Vigente;0;1;0
397;DS CREMA DE MANI DOY PACK 10X18 (ID102);;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;Vigente;0;1;0
398;CREMA DE MANI BOLSA PLANA VALVULA PERFORACION  (ID 138);;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;Vigente;0;1;0
489;Tableta Chocolate 73p 50 grs pack x 5 CPM;;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto en proceso;Vigente;0;29856;0
499;Tableta Chocolate 100Pgm (sin empacar);;TPT.01. VENTA AGROECOLOGICOS VARIOS;Producto terminado;Vigente;0;5200;0
173;Muestra Chocolate de mesa 2 porciones;;TPT.02. VENTA OTROS;Producto en proceso;Vigente;5;2000;10000
321;CHOCOLATE MESA GRANULADO OS BOLSA 1 KILO;;TPT.02. VENTA OTROS;Producto en proceso;Vigente;0;41275;0
335;DEGUSTACION DOY PACK 45gm Miel;;TPT.02. VENTA OTROS;Producto en proceso;Vigente;0;3000;0
336;DEGUSTACION DOY PACK 45gm Propoleo;;TPT.02. VENTA OTROS;Producto en proceso;Vigente;0;3000;0
235;EXHIBIDOR MEDIANO MADERA 2 NIVELES;;XMATERIAL DE APOYO VENTAS POP;Activo fijo (Propiedad, planta y equipo);Vigente;0;35000;0
245;EXHIBIDOR GRANDE MADERA 3 NIVELES;;XMATERIAL DE APOYO VENTAS POP;Activo fijo (Propiedad, planta y equipo);Vigente;0;60000;0
246;HABLADOR EN ACRILICO BASE MADERA;;XMATERIAL DE APOYO VENTAS POP;Activo fijo (Propiedad, planta y equipo);Vigente;4;28000;112000
251;EXHIBIDOR PEQUEÑO MADERA 1 NIVEL;;XMATERIAL DE APOYO VENTAS POP;Activo fijo (Propiedad, planta y equipo);Vigente;0;0;0
268;VITRINA RODAJA MADERA;;XMATERIAL DE APOYO VENTAS POP;Activo fijo (Propiedad, planta y equipo);Vigente;0;0;0
391;HABLADOR MADERA;;XMATERIAL DE APOYO VENTAS POP;Activo fijo (Propiedad, planta y equipo);Vigente;0;28000;0
369;DESCUENTOS;;;Servicio;Vigente;0;0;0
522;Exhibidor tableta pequeño;;;Activo fijo (Propiedad, planta y equipo);Vigente;0;12000;0
564;Exhibidor Tableta Grande;;;Activo fijo (Propiedad, planta y equipo);Vigente;0;22000;0
