cod;nombre;categoria;tipo;stock;costo_unit;valor_inventario;ult_material;ult_produccion;ult_compra;nunca_usado;accion_sugerida
531;Etiqueta tableta tornasol cacao organico x unidad;T03.21. ETIQUETAS ADESIVAS;Materia prima;0,00;22,50;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
536;Etiqueta tableta tornasol con almendra x unidad;T03.21. ETIQUETAS ADESIVAS;Materia prima;0,00;19,54;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
534;Etiqueta tableta tornasol con macadamia x unidad;T03.21. ETIQUETAS ADESIVAS;Materia prima;0,00;19,54;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
535;Etiqueta tableta tornasol con mani x unidad;T03.21. ETIQUETAS ADESIVAS;Materia prima;0,00;19,54;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
537;Etiqueta tableta tornasol con nibs de cacao x unidad;T03.21. ETIQUETAS ADESIVAS;Materia prima;0,00;19,54;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
538;Etiqueta tableta tornasol con sal marina x unidad;T03.21. ETIQUETAS ADESIVAS;Materia prima;0,00;19,54;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
533;Etiqueta tableta tornasol solo chocolate x unidad;T03.21. ETIQUETAS ADESIVAS;Materia prima;0,00;19,54;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
578;Etiqueta Transparente Miel Panal 150 gr;T03.21. ETIQUETAS ADESIVAS;Materia prima;11,00;300,00;3300,00;;;;SI;REVISAR — tiene stock
577;Etiqueta Transparente Miel Panal 275 gr;T03.21. ETIQUETAS ADESIVAS;Materia prima;2,00;300,00;600,00;;;;SI;REVISAR — tiene stock
256;BOLSA PAPEL CON CARGADERA 50uds 23.5 x12 x 33 SIGMAPLAST;T03.31. BOLSAS DE PAPEL;Materia prima;0,00;0,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
253;BOLSA FLEX UP 16 X 26 CON VALVULA;T03.31. BOLSAS PLASTICAS;Materia prima;10,00;693,48;6934,80;;;;SI;REVISAR — tiene stock
374;BOLSA GRAN FORMATO 13KG EMPAQUE MAT. PRIMA;T03.31. BOLSAS PLASTICAS;Materia prima;1,00;2566,36;2566,36;;;;SI;REVISAR — tiene stock
254;BOLSA PLANA FLEXIBLE15 X 20 CM CON VALVULA;T03.31. BOLSAS PLASTICAS;Materia prima;15,00;302,81;4542,15;;;;SI;REVISAR — tiene stock
341;BOLSA PLANA PET METALIZADA  FELXIBLE 16X28CM;T03.31. BOLSAS PLASTICAS;Materia prima;50,00;405,00;20250,00;;;;SI;REVISAR — tiene stock
338;BOLSA PLANA PET METALIZADA / FLEXIBLE SIN IMPRESION 16X22 EMPAQUE COBERTURA;T03.31. BOLSAS PLASTICAS;Materia prima;4,00;318,00;1272,00;;;;SI;REVISAR — tiene stock
375;BOLSA VERDE 35KG IMPRESA EMPAQUE MAT. PRIMA;T03.31. BOLSAS PLASTICAS;Materia prima;0,00;6647,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
409;MOLDE POLICARBONATO AMAZON FIGURAS  VARIAS X UNIDAD;T05.02. A.F. MOLDES;Activo fijo (Propiedad, planta y equipo);4,00;55000,00;220000,00;;;;SI;NO TOCAR (catálogo permanente)
270;MOLDE POLICARBONATO AMAZON FIGURAS 9 - 12g X UNIDAD;T05.02. A.F. MOLDES;Activo fijo (Propiedad, planta y equipo);19,00;55000,00;1045000,00;;;;SI;NO TOCAR (catálogo permanente)
271;MOLDE POLICARBONATO AMAZON TABLETA  CUADRICULA X UNIDAD;T05.02. A.F. MOLDES;Activo fijo (Propiedad, planta y equipo);16,00;15000,00;240000,00;;;;SI;NO TOCAR (catálogo permanente)
408;MOLDE POLICARBONATO AMAZON TABLETA RAYA X UNIDAD;T05.02. A.F. MOLDES;Activo fijo (Propiedad, planta y equipo);1,00;55000,00;55000,00;;;;SI;NO TOCAR (catálogo permanente)
200;MOLDE POLICARBONATO FORMA CACAITO;T05.02. A.F. MOLDES;Activo fijo (Propiedad, planta y equipo);2,00;55000,00;110000,00;;;;SI;NO TOCAR (catálogo permanente)
202;REJILLA COCINA;T05.02. A.F. MOLDES;Activo fijo (Propiedad, planta y equipo);0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
203;TAPETE SILICONA;T05.02. A.F. MOLDES;Activo fijo (Propiedad, planta y equipo);0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
304;Bowld Metálico de 32cms;T05.03. HERRAMIENTAS;Activo fijo (Propiedad, planta y equipo);0,00;18500,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
234;Espátula Alta Temperatura 16pulg.;T05.03. HERRAMIENTAS;Activo fijo (Propiedad, planta y equipo);1,00;31933,00;31933,00;;;;SI;NO TOCAR (catálogo permanente)
201;ESPATULA BLANCA;T05.03. HERRAMIENTAS;Activo fijo (Propiedad, planta y equipo);0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
221;PISTOLA DE CALOR RANGER;T05.03. HERRAMIENTAS;Activo fijo (Propiedad, planta y equipo);0,00;100840,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
211;REFINADORA CHOCOLATE PREMIER1;T05.03. HERRAMIENTAS;Activo fijo (Propiedad, planta y equipo);0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
210;TERMOMIX;T05.03. HERRAMIENTAS;Activo fijo (Propiedad, planta y equipo);0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
286;Amonio Cuaternario x litro (Limpieza y desinfección);T05.06. CONSUMIBLES PRODUCCION Y VENTAS;Materia prima;1,00;12700,00;12700,00;;;;SI;REVISAR — tiene stock
